# https://store.tmotor.com/product/mn1018-motor-navigator-type.html
# Type: MN1018 KV72
# Propeller: G36*11.5
# Battery: 22S

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
2361,8907,4.11,87.34783155,0.047053257
2546,10574,4.76,103.6955171,0.045903624
2721,12141,5.41,119.0625377,0.045438306
2907,14125,6.26,138.5189313,0.045192379
3063,15760,6.98,154.552804,0.045162558
3215,17644,7.76,173.0285326,0.044848095
3406,19868,8.76,194.8385222,0.044960308
3576,22170,9.73,217.4134305,0.044753445
3708,24049,10.38,235.8401259,0.044012867
3991,28179,12.08,276.3415904,0.043714013
4174,30808,13.2,302.1232732,0.043690775
