# https://store.tmotor.com/product/505-x-standard-integrated-propulsion.html
# Type: 505-X KV320(Alpha 60A 6S)
# Propeller: MF2211

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
2612,1953,0.52,19.15238745,0.027150662
2884,2395,0.64,23.48692675,0.027249202
3147,2851,0.76,27.95875915,0.027182894
3399,3328,0.88,32.6365312,0.02696365
3641,3817,1.01,37.43198305,0.026982273
3873,4318,1.14,42.3451147,0.026921642
4092,4824,1.27,47.3072796,0.026845763
4296,5328,1.4,52.2498312,0.026794345
4491,5819,1.53,57.06489635,0.026811579
4672,6289,1.65,61.67402185,0.026753566
4849,6764,1.77,66.3321806,0.026683881
4935,7014,1.83,68.7838431,0.026605085
4952,7050,1.84,69.1368825,0.02661387
