# https://store.tmotor.com/product/mn601-s-kv320-motor-navigator-type.html
# Type: MN601S KV320
# Propeller: T-MOTOR P21*6.3
# Battery: 6S

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
2644,1194,0.3,11.7091401,0.02562101
2777,1212,0.32,11.8856598,0.0269232
2915,1349,0.35,13.22917085,0.026456685
3022,1448,0.38,14.2000292,0.026760508
3165,1599,0.41,15.68083335,0.02614657
3272,1677,0.44,16.44575205,0.026754629
3420,1871,0.47,18.34824215,0.025615533
3563,2035,0.51,19.95653275,0.025555541
3650,2123,0.55,20.81951795,0.026417518
3729,2254,0.58,22.1041891,0.02623937
3814,2351,0.61,23.05543415,0.026457971
3954,2450,0.65,24.0262925,0.027053695
4045,2593,0.68,25.42864345,0.026741497
4154,2820,0.71,27.654753,0.025673706
4281,2987,0.75,29.29246355,0.025603855
4394,3077,0.78,30.17506205,0.02584916
4616,3490,0.86,34.2252085,0.025127677
4851,3878,0.95,38.0301887,0.024980155
5369,4725,1.12,46.33642125,0.024171051
5755,5510,1.27,54.0346415,0.023503441
