# https://database.tytorobotics.com/tests/m96y/dji-1045-tm-4014-dmr-3040
# Do not use rotational speeds below 3000 RPM due to poor measurement accuracy.

RPM,Thrust [kgf],Torque [Nm],Thrust [N],Moment Constant [m]
# 382,0.001158511,0.000182851,0.011361112,0.016094463
# 801,0.005524341,0.001289769,0.054175279,0.023807335
# 1200,0.013185533,0.002540935,0.129305907,0.019650572
# 1659,0.026338211,0.005371892,0.258289617,0.02079794
# 2179,0.046594176,0.0092473,0.456932776,0.020237769
# 2659,0.070209088,0.013765283,0.688515953,0.019992686
3099,0.098052399,0.018713469,0.961565559,0.019461459
3514,0.128401583,0.023800506,1.259189384,0.018901451
3924,0.162549796,0.029185431,1.594068957,0.018308763
4321,0.199124087,0.035523478,1.952740228,0.018191605
4725,0.24396695,0.042509725,2.39249849,0.017767921
5099,0.28436746,0.049677071,2.788692152,0.017813752
5497,0.335837033,0.057827688,3.29343624,0.017558466
5927,0.383334673,0.065760492,3.759228971,0.01749308
6366,0.433079765,0.074556131,4.247061677,0.017554756
6779,0.495978457,0.084950046,4.863887135,0.017465464
7078,0.554027787,0.094070606,5.433156597,0.017314172
7461,0.616032235,0.105975065,6.041212517,0.017542019
7085,0.546578592,0.09178296,5.360104949,0.017123351
6781,0.498675477,0.086437229,4.890335867,0.017675111
6363,0.443238149,0.075698294,4.346681394,0.017415193
5926,0.388418359,0.066560591,3.8090829,0.017474178
5499,0.333827323,0.057098361,3.273727717,0.01744139
5110,0.292657209,0.049222929,2.869986819,0.017150925
4728,0.247680827,0.042562067,2.428919182,0.017523048
4331,0.207896736,0.034833648,2.038770526,0.017085615
3927,0.168611467,0.028889643,1.653513643,0.017471669
3526,0.136285701,0.023163681,1.33650617,0.017331518
3108,0.103119665,0.017917203,1.011258463,0.017717729
# 2662,0.078157525,0.012345878,0.766463493,0.016107588
# 2183,0.051360848,0.007854128,0.50367786,0.015593554
# 1658,0.032614265,0.004851107,0.319836682,0.01516745
# 1202,0.018917296,0.001719739,0.185515301,0.009270066
# 802,0.01103312,0.000139131,0.108197946,0.001285893
