# https://shop.xoarintl.com/products/xoar-dji-inspire-1-matrice-100-carbon-fiber-propellers-1345

RPM,Thrust [g],Net Output (Prop Input) [W],Thrust [N],Speed [rad/s],Torque [Nm],Moment Constant [m]
3512,342.85,24.64,3.362209953,367.77578,0.066997343,0.019926579
3802,418.36,30.66,4.102710094,398.144509,0.077007215,0.018769841
4115,495.91,39.21,4.863215802,430.9217923,0.090990989,0.018710045
4308,542.85,41.96,5.323539953,451.1327051,0.093010326,0.017471518
4501,589.79,48.55,5.783864104,471.3436178,0.10300341,0.017808754
4707,642.85,54.22,6.304204953,492.9158873,0.109998483,0.017448431
4900,710.2,63.63,6.96468283,513.1268001,0.124004437,0.01780475
5107,775.51,70.59,7.605155142,534.8037894,0.131992333,0.01735564
5310,831.63,74.51,8.15550434,556.0618997,0.133995874,0.016430115
5515,892.85,86.63,8.755867453,577.5294495,0.150001009,0.017131485
5716,954.08,96.97,9.356328632,598.5781203,0.162000576,0.017314545
5919,1033.67,105.99,10.13683991,619.8362306,0.170996781,0.016868845
6117,1116.32,117.22,10.94735953,640.5707421,0.18299306,0.016715726
6307,1185.71,130.11,11.62784297,660.4674955,0.196996826,0.01694182
6504,1244.89,140.31,12.20820052,681.0972873,0.206005812,0.01687438
6711,1336.73,158.83,13.10884325,702.7742766,0.226004288,0.017240597
