# https://database.tytorobotics.com/tests/xz7/tarot-4108-380kv-tarot-1355

Throttle [us],RPM,Thrust [kgf],Voltage [V],Current [A],Throttle [-],Rotation Speed [rad/s],Thrust [N],Torque [Nm],Moment Constant [m],Electrical Power [W],Mehanical Power [W],Efficiency [%]
1939,5763,1.676601859,24.45855951,17.38406466,0.939,603.4999488,16.44184763,0.436856814,0.026569813,399.2526401,263.6430649,66.0341444
1913,5682,1.612141737,24.43019853,16.65266565,0.913,595.0176486,15.80970977,0.418476956,0.026469617,371.4338981,249.0011743,67.0378163
1887,5569,1.54053336,24.43380357,15.2474455,0.887,583.1843163,15.10747148,0.383164156,0.02536256,330.4545894,223.4553263,67.62058495
1861,5437,1.488535862,24.44087699,14.1121995,0.861,569.3613086,14.59755022,0.354635733,0.024294195,296.971412,201.9158649,67.99168429
1836,5338,1.419821197,24.45269531,13.01391948,0.836,558.9940528,13.92368954,0.327036255,0.023487758,266.036441,182.8113216,68.71664681
1810,5232,1.363008622,24.46448064,12.06784325,0.81,547.8937588,13.3665485,0.303261617,0.022688102,239.1391491,166.155147,69.48052949
1784,5121,1.303327959,24.47799248,11.15438804,0.784,536.269866,12.78128113,0.280306736,0.021931036,214.0610289,150.3200557,70.22299036
1758,4994,1.25292775,24.49191406,10.28219887,0.758,522.9704571,12.28702392,0.258388859,0.02102941,190.8876941,135.1297399,70.79017875
1733,4895,1.187967519,24.50823947,9.399422491,0.733,512.6032013,11.64998167,0.236204929,0.020275133,168.8562969,121.0794029,71.70558936
1707,4783,1.121405323,24.52421405,8.544295307,0.707,500.8745887,10.99722951,0.214715816,0.019524537,148.1462838,107.5456959,72.59425829
1681,4660,1.061302102,24.54276936,7.742463974,0.681,487.9940589,10.40781826,0.194566013,0.018694217,129.4046467,94.9470582,73.37221704
1655,4516,1.003081023,24.55962,6.995314024,0.655,472.9144141,9.836864518,0.175790338,0.017870566,112.5304765,83.13378456,73.87668402
1629,4397,0.927715675,24.57660029,6.211673082,0.629,460.4527633,9.097782925,0.156097654,0.017157769,96.02427626,71.87559616,74.8514844
1604,4247,0.871812006,24.59229675,5.552580782,0.604,444.7448,8.549555205,0.139534844,0.016320714,82.47663145,62.05739626,75.24239917
1578,4095,0.805365473,24.60803448,4.895163968,0.578,428.8273972,7.897937314,0.123014138,0.015575477,69.62609024,52.75183276,75.76446212
1552,3928,0.73952634,24.62391941,4.259605632,0.552,411.3391981,7.252275979,0.10704273,0.014759881,57.89827857,44.03087085,76.04867007
1526,3762,0.670929584,24.64120998,3.665566625,0.526,393.9557188,6.579571605,0.092114692,0.014000105,47.51042237,36.28910959,76.38136598
1501,3583,0.611185999,24.65490587,3.172927145,0.501,375.2108826,5.993687181,0.079734796,0.013303129,39.19233827,29.91736306,76.33472352
1475,3399,0.544964726,24.66827328,2.68606438,0.475,355.9424477,5.344278326,0.067500067,0.012630343,31.47377082,24.02613902,76.33702092
1449,3203,0.490778232,24.68078502,2.2801522,0.449,335.4173756,4.812890352,0.057299604,0.011905446,25.26789988,19.21928289,76.062051
1423,3027,0.421358555,24.69189834,1.921824229,0.423,316.9866987,4.132115869,0.04829492,0.011687697,20.07282563,15.30884721,76.26652817
1398,2837,0.379216694,24.70156844,1.649745807,0.398,297.0899453,3.71884539,0.041457663,0.011147993,16.21902097,12.31665488,75.93957062
1372,2634,0.324596563,24.71049963,1.361729,0.372,275.831835,3.183204883,0.034219879,0.010750134,12.51742947,9.438932067,75.40631319
1346,2428,0.26133965,24.71926412,1.074767678,0.346,254.2595654,2.562866482,0.027008619,0.010538442,9.192343275,6.867199798,74.70565004
1320,2204,0.223515248,24.72711249,0.858308158,0.32,230.8023403,2.191935811,0.02156905,0.009840183,6.791514355,4.978187314,73.30010735
1294,1942,0.16751013,24.73367583,0.64030068,0.294,203.3657644,1.642713218,0.016090582,0.009795125,4.6560749,3.272273476,70.27965714
1269,1697,0.126986916,24.73968599,0.483369854,0.269,177.7094244,1.245316239,0.012146953,0.009754111,3.216814549,2.158628004,67.1045213
1243,1451,0.093586914,24.74504245,0.366262446,0.243,151.9483647,0.91777411,0.009204076,0.010028694,2.202352684,1.398544234,63.50228299
1217,1221,0.06934557,24.74870835,0.277634784,0.217,127.862821,0.680047735,0.006976887,0.010259407,1.491029198,0.892084398,59.83010922
1191,997,0.044456429,24.75285876,0.196197303,0.191,104.4055959,0.435968644,0.004930385,0.011309035,0.927580827,0.514759765,55.49486902
