# https://store.tmotor.com/product/mn705-s-kv125-motor-navigator-type.html
# Type: MN705S KV125
# Propeller: G26*8.5
# Battery: 12S

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
2271,2452,0.86,24.0459058,0.035764924
2355,2646,0.92,25.9483959,0.035454985
2426,2814,0.98,27.5959131,0.035512505
2529,3100,1.05,30.400615,0.034538775
2588,3254,1.13,31.9108391,0.035411165
2694,3538,1.2,34.6959277,0.034586192
2798,3757,1.26,36.84358405,0.034198627
2857,3925,1.34,38.49110125,0.034813241
2957,4271,1.42,41.88420215,0.033902997
3030,4471,1.52,43.84553215,0.034667158
3156,4835,1.59,47.41515275,0.033533584
3212,5049,1.67,49.51377585,0.033727987
3284,5222,1.76,51.2103263,0.034368068
3357,5460,1.84,53.544309,0.034364063
3431,5672,1.91,55.6233188,0.034338116
3504,5851,2.02,57.37870915,0.035204696
3684,6472,2.16,63.4686388,0.034032556
3841,7103,2.41,69.65663495,0.034598283
4118,8361,2.87,81.99340065,0.035002817
4518,10251,3.29,100.5279692,0.03272721
