# https://store.tmotor.com/product/mn1010-kv90-motor-navigator-type.html
# Type: MN1010 KV90
# Propeller: G32*11
# Battery: 12S

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
1557,2574,0.97,25.2423171,0.038427534
1746,3245,1.2,31.82257925,0.037709074
1920,3925,1.45,38.49110125,0.037671045
2094,4725,1.74,46.33642125,0.037551454
2244,5420,2,53.152043,0.037627905
2397,6192,2.27,60.7227768,0.037383007
2548,7010,2.57,68.7446165,0.037384746
2704,7938,2.92,77.8451877,0.037510347
2870,9039,3.29,88.64230935,0.037115459
3180,11154,4.05,109.3833741,0.037025737
3469,13541,4.9,132.7918477,0.036899856
