# https://store.tmotor.com/product/501-x-standard-integrated-propulsion.html
# Type: 501-X KV360(Alpha 40A 6S)
# Propeller: MF1806

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
3127,1083,0.23,10.62060195,0.021656023
3473,1336,0.28,13.1016844,0.021371298
3805,1607,0.34,15.75928655,0.021574581
4134,1893,0.39,18.56398845,0.021008416
4455,2196,0.46,21.5354034,0.021360176
4766,2515,0.52,24.66372475,0.021083596
5074,2841,0.59,27.86069265,0.021176789
5366,3181,0.66,31.19495365,0.021157268
5647,3536,0.73,34.6763144,0.021051834
5916,3883,0.8,38.07922195,0.021008833
6181,4269,0.87,41.86458885,0.020781286
6338,4472,0.91,43.8553388,0.020750039
6367,4514,0.92,44.2672181,0.020782874
