# https://store.tmotor.com/product/u8-2-x-standard-integrated-propulsion.html
# Type: U8II-X KV100(Alpha 60A 12S)
# Propeller: MF2815

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
1723,2088,0.73,20.4762852,0.035650998
1909,2594,0.9,25.4384501,0.035379514
2090,3145,1.08,30.84191425,0.035017282
2269,3747,1.28,36.74551755,0.034834181
2446,4384,1.48,42.9923536,0.034424726
2616,5028,1.7,49.3078362,0.034477278
2782,5740,1.94,56.290171,0.034464276
2939,6440,2.16,63.154826,0.034201662
3091,7115,2.39,69.77431475,0.034253292
3230,7771,2.62,76.20747715,0.034379829
3357,8403,2.82,82.40527995,0.034221108
3454,8903,2.99,87.30860495,0.034246338
3491,9082,3.05,89.0639953,0.034245039
