# https://store.tmotor.com/product/u15xxl-manned-aircraft-combo.html
# Type: U15XXL KV29
# Propeller: 62*24"

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
834,13633,9.8,133.6940595,0.073301686
996,19599,14.01,192.2005334,0.072892618
1122,23521,16.94,230.6622147,0.073440724
1212,27670,20.02,271.3500055,0.07377925
1296,33170,24.1,325.2865805,0.074088516
1437,40488,29.59,397.0516452,0.07452431
1560,48312,35.4,473.7788748,0.074718401
1635,53443,39.1,524.096796,0.074604539
1800,67606,50.04,662.9883799,0.075476436
1890,72109,53.46,707.1477249,0.07559948
1950,76707,57.09,752.2387016,0.075893463
2010,82635,61.78,810.3725228,0.076236543
2085,88756,66.85,870.3990274,0.076803854
2130,95211,72.18,933.7009532,0.077305265
2203,101449,76.97,994.8748359,0.077366516
