# https://store.tmotor.com/product/antigravity-mn2806-evo-motor.html
# Type: MN2806 EVO
# Propeller: P12
# Battery: 4S

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
2620,161.96,0.03,1.588285034,0.018888297
2990,214.53,0.04,2.103820625,0.019013028
3445,288.66,0.05,2.830787589,0.017662929
3824,358.77,0.06,3.518331821,0.017053536
4184,431.93,0.07,4.235786335,0.016525857
4542,510.53,0.08,5.006589025,0.015978943
4887,593.18,0.1,5.817108647,0.017190671
5236,680.02,0.11,6.668718133,0.016494924
5558,766.48,0.12,7.516601092,0.015964663
5863,854.42,0.14,8.378997893,0.016708442
6164,947.68,0.15,9.293566072,0.016140198
6448,1036.95,0.17,10.16900572,0.016717465
6716,1126.54,0.18,11.04758349,0.016293156
6958,1212.8,0.19,11.89350512,0.015975106
7131,1275.96,0.2,12.51289313,0.015983514
