# https://store.tmotor.com/product/mn5006-kv450-motor-antigravity-type.html
# Type: MN5006 KV450
# Propeller: T-MOTOR P14*5" CF
# Battery: 6S

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
3730,723,0.13,7.09020795,0.018335146
4141,895,0.16,8.77695175,0.018229564
4528,1084,0.2,10.6304086,0.018813952
4887,1259,0.23,12.34657235,0.018628652
5239,1458,0.27,14.2980957,0.018883634
5573,1643,0.3,16.11232595,0.018619286
5868,1839,0.34,18.03442935,0.018852828
6219,2079,0.38,20.38802535,0.018638392
6550,2307,0.42,22.62394155,0.018564404
7169,2792,0.51,27.3801668,0.018626621
7682,3218,0.59,31.5577997,0.018695854
