# https://store.tmotor.com/product/mn5006-kv300-motor-antigravity-type.html
# Type: MN5006 KV300
# Propeller: T-MOTOR P18*6.1" CF
# Battery: 6S

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
2410,629,0.14,6.16838285,0.022696386
2702,792,0.17,7.7668668,0.021887848
2988,968,0.21,9.4928372,0.022121943
3264,1162,0.24,11.3953273,0.021061264
3525,1366,0.29,13.3958839,0.021648441
3762,1572,0.33,15.4160538,0.021406256
3996,1777,0.38,17.42641705,0.021805974
4219,1980,0.42,19.417167,0.021630344
4424,2183,0.46,21.40791695,0.021487378
4807,2618,0.55,25.6738097,0.02142261
5131,2996,0.63,29.3807234,0.021442631
