# https://store.tmotor.com/product/mn601-s-kv320-motor-navigator-type.html
# Type: MN601S KV320
# Propeller: T-MOTOR P20*6
# Battery: 6S

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
2751,976,0.24,9.5712904,0.025074989
2850,1058,0.25,10.3754357,0.024095374
2996,1183,0.28,11.60126695,0.024135295
3088,1275,0.3,12.50347875,0.023993323
3235,1389,0.33,13.62143685,0.024226519
3376,1492,0.35,14.6315218,0.023920957
3520,1658,0.38,16.2594257,0.023371059
3618,1757,0.4,17.23028405,0.023214939
3699,1894,0.42,18.5737951,0.022612503
3829,1972,0.44,19.3387138,0.022752289
3924,2130,0.47,20.8881645,0.02250078
4044,2203,0.5,21.60404995,0.023143809
4142,2307,0.52,22.62394155,0.022984501
4268,2443,0.55,23.95764595,0.02295718
4372,2587,0.57,25.36980355,0.022467655
4505,2731,0.6,26.78196115,0.022403139
4748,3040,0.68,29.812216,0.022809442
5017,3418,0.77,33.5191297,0.022971957
5511,4191,0.94,41.09967015,0.02287123
5980,4904,1.07,48.0918116,0.02224911
