# https://store.tmotor.com/product/mn6007-v2-motor-antigravity-type.html
# Type: MN6007 I KV160
# Propeller: P22*6.6"
# Battery: 12S

RPM,Thrust [g],Torque [Nm],Thrust [N],Moment Constant [m]
2870,1696,0.4,16.6320784,0.024049911
2987,1833,0.44,17.97558945,0.02447764
3165,2061,0.49,20.21150565,0.024243617
3249,2179,0.51,21.36869035,0.023866694
3343,2316,0.54,22.7122014,0.023775767
3448,2469,0.58,24.21261885,0.023954451
3532,2590,0.61,25.3992235,0.024016482
3623,2737,0.64,26.84080105,0.023844296
3706,2875,0.67,28.19411875,0.023763821
3801,3033,0.71,29.74356945,0.023870706
3885,3168,0.74,31.0674672,0.023819129
3976,3314,0.77,32.4992381,0.023692863
4055,3447,0.8,33.80352255,0.023666173
4148,3618,0.84,35.4804597,0.023675003
4229,3773,0.88,37.00049045,0.023783469
4290,3887,0.9,38.11844855,0.023610615
4686,4641,1.08,45.51266265,0.02372966
5046,5469,1.27,53.63256885,0.023679641
5456,6419,1.49,62.94888635,0.023669998
