# https://store.tmotor.com/product/mn7005-kv115-motor-antigravity-type.html
# Type: MN7005 KV115
# Voltage (V): 48
# Propeller: T-MOTOR P24*7.2" CF

Voltage [V],Throttle,Thrust [g],Torque [Nm],Current [A],RPM,Rotation Speed [rad/s],Thrust [N],Moment Constant [m]
48,40%,1322,0.38,2.02,1972,206.5073571,12.9564593,0.029329
48,42%,1408,0.41,2.19,2032,212.7905424,13.7993152,0.029711619
48,44%,1513,0.44,2.45,2142,224.3097155,14.82838345,0.029672823
48,46%,1606,0.46,2.64,2207,231.1164995,15.7398439,0.029225195
48,48%,1707,0.48,2.88,2284,239.1799207,16.72970955,0.028691472
48,50%,1807,0.51,3.13,2364,247.5575011,17.70977455,0.028797656
48,52%,1947,0.55,3.51,2460,257.6105976,19.08186555,0.028823178
48,54%,2068,0.58,3.82,2542,266.1976175,20.2677442,0.0286169
48,56%,2164,0.6,4.05,2606,272.8996818,21.2086066,0.028290402
48,58%,2280,0.64,4.39,2699,282.6386191,22.345482,0.028641136
48,60%,2398,0.67,4.73,2778,290.9114797,23.5019587,0.028508262
48,62%,2507,0.7,5.07,2855,298.9749009,24.57022955,0.028489762
48,64%,2627,0.73,5.45,2926,306.4100035,25.74630755,0.02835358
48,66%,2756,0.76,5.82,2999,314.0545456,27.0105914,0.028137111
48,68%,2888,0.79,6.26,3075,322.013247,28.3042772,0.027910976
48,70%,3014,0.83,6.71,3136,328.4011521,29.5391591,0.028098295
48,75%,3346,0.91,7.9,3343,350.0781414,32.7929749,0.027749846
48,80%,3605,0.98,8.83,3474,363.7964293,35.33134325,0.027737411
48,90%,4224,1.14,11.29,3758,393.5368397,41.3979456,0.027537598
48,100%,4783,1.32,14.07,4038,422.8583712,46.87650895,0.028159094
